"Tidsstempel","For how long have you been knitting?","How often do you knit?","How many consecutive hours do you knit per session? (Chose the answer that fits the best on average)","Where are you based?","Why do you knit? ","How did you learn how to knit?","Where do you most often knit?","Where do you get inspiration for new knitting designs from?  ","What is your favorite type(s) of knitting project? ","What size of knitting project do you often do?","How do you choose yarn for your projects? ","Where do you often buy yarn and why?","Is there anything you would like to add about your life as a knitter? ","Which tools/haberdashery/equipment have you used during a knitting project? Choose all you have ever used","Choose the 3 most important tools (I know it can be difficult)","When starting a new knitting project do you make sure you are able to execute the pattern or do you just jump directly into it?","Please elaborate on your question above. E.g., what motivates you about a pattern?, where do you learn new skills?","Where do you mostly get help if you encounter a problem or a technique/stitch type you can't execute?","Do you prefer physical or digital knitting patterns?","What tools would be preferable to have in an knitting app? ","Would sharing the information in the app be a necesity? (E.g., be able to see the your registered amount of yarn on multiple devices)","If yes: why would it be nice to share the data? Is there some situations where it could beneficial?","Do you have anything else to share when talking about knitting apps?","Is there anything you would like to add?"
"2022/10/07 2:35:29 PM CET","More than 20 years","Daily","1 - 2 hours","Germany","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV)","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Yarn shops","Knitwear for myself;Knitwear for my grandchildren","Large projects (E.g., adults knitwear)","I have soooo much yarn at home","I buy from physical shops and online about equally. My reasons are everything you have listed!","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Knitting app(s);Notebook & pen","Measureing tape;Circular needles;Knitting app(s)","The difficult level/techniques doesn't hold me back. I will just jump into it!","I choose patterns because I like the look of them and because they suit my current needs. If I need to learn a new skill - not often after 50 years knitting - I look online","YouTube offers great help","Digital","Overview of knitting projects;Digital patterns;Knitting counter","Yes, it could be nice to share the data on multiple devices","I have found it useful to share data due to: 1 - one device being out of battery life, so switch to another; 2 - using different devices in different places, like phone when out and about but iPad at home","",""
"2022/10/07 2:41:54 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Being creative by trying new stitch types, knitting techniques or new designs;Making things I can't find to buy.","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself;Household items","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Needle gauge;Swatch gauge;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen;Magnetic chart easel","Stitch markers;Circular needles;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","If a design looks interesting, I'll try it.","YouTube offers great help","Physical","Overview of gauge swatches;Video tutorials;General notes","No, I would like to keep my data on one device","","",""
"2022/10/07 2:49:22 PM CET","11 - 20 years","Daily","1 - 2 hours","Canada","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","self taught from books","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Yarn shops","Knitwear for myself","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Cable needles;Needle gauge;Swatch gauge;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen","Measureing tape;Circular needles;Wool winder","The difficult level/techniques doesn't hold me back. I will just jump into it!","I love trying new and different techniques.","ravelry, books","Digital","i have no need for an alp","Yes, it could be nice to share the data on multiple devices","i use an ipad and my phone, would be nice to sync","no",""
"2022/10/07 2:51:05 PM CET","More than 20 years","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Get objects I like in fiber of my choice","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines;Yarn shops","Knitwear for myself;Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I choose yarn based on its quality/texture/material/color","First I look at what I have, if no luck try local store, if still can’t find what want then go online","As all hobbies time spent and what I make varies depending on what is happening in the rest of my life.  It’s a hobby, not a job, have gone for years without knitting then will knit daily","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Row/round counter / knitting counter;Equiment for blocking;Scissor / Yarn cutter;Notebook & pen;Swift","Measureing tape;Circular needles;Double-pointed needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","Look of finished item","Ravelry,  I do get annoyed with the shop closest to me, will only help with yarn purchased at shop,  doesn’t matter that I spent $$ on other object week before","Physical","Ravelry has everything I need","Yes, it could be nice to share the data on multiple devices","If away from home nice to pull up on phone","Not really sure if I understand what you mean by knitting app. I think you should add definition/description of what you mean a knitting app is",""
"2022/10/07 2:56:25 PM CET","More than 20 years","Daily","3 - 4 hours","What, Canada doesn't exist?","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","Back in the old days, there were these things called magazines","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself","Large projects (E.g., adults knitwear)","I often choose the yarn that is one sale or if there is a great offer","Online shops because it is often cheaper","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Darning egg;Notebook & pen","Stitch markers;Circular needles;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","","I can always figure it out.","Physical","don't care. I wouldn't use it.","","","","Some of your choices are confusing. What's the difference between yarn needles and knitting needles, circular and cable needles, what's trio needles?"
"2022/10/07 3:28:43 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Yarn shops;Personal websites of knitwear designers","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Circular needles;Cable needles;Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen","Circular needles;Row/round counter / knitting counter;Wool winder","The difficult level/techniques doesn't hold me back. I will just jump into it!","Through classes and you tube learning something new is motivation ","YouTube offers great help","Physical","Overview of knitting projects;Overview of gauge swatches;Tool for calculating yarn amount;Video tutorials","Yes, it could be nice to share the data on multiple devices","If I am not near my laptop","",""
"2022/10/07 3:34:40 PM CET","More than 20 years","Daily","3 - 4 hours","USA","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);knit for people who need to stay warm","Through friends","At home","Magazines;Yarn shops;Personal websites of knitwear designers","Knitwear for myself;Gifts for friends and family;charity","Small projects (E.g., gloves, hats, socks, cloths)","I buy yarn from my favorite manufacturer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","keeps me calm","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Needle gauge;Swatch gauge;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen;magnet board","Circular needles;Swatch gauge;Equiment for blocking","The difficult level/techniques doesn't hold me back. I will just jump into it!","motivation...has to be interesting, either texture or color work after 60 years I pretty much know how to do most things, poor internet connections so usually just make something up","i am the local yarn shop","Physical","don't know how to use apps as cell phone are not reliable in this area","","don't know","",""
"2022/10/07 3:53:02 PM CET","11 - 20 years","Daily","3 - 4 hours","USA","Being creative by trying new stitch types, knitting techniques or new designs","The older generations in my family passed the craft on to me","At home","Yarn shops","Knitwear for myself;Household items","Large projects (E.g., adults knitwear)","I buy yarn from my favorite manufacturer","Physical shops to be able to feel the yarn","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Swatch gauge;Yarn needles;Equiment for blocking;Yarn threader;Scissor / Yarn cutter;Wool winder;Notebook & pen","Measureing tape;Double-pointed needles;Yarn needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I like unique patterns.","YouTube offers great help","Physical","Overview of knitting projects;Page for inspiration;General notes","No, I would like to keep my data on one device","","",""
"2022/10/07 4:55:38 PM CET","More than 20 years","Daily","3 - 4 hours","Great Britain","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV)","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself;Gifts for friends and family;Charity","","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer;I choose yarn based on its quality/texture/material/color","Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position;Online shops to get a better overview","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles;Needle gauge;Row/round counter / knitting counter;Yarn needles;Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen;Stitch holders, ruler","Circular needles;Double-pointed needles;Knitting needles (straight knitting needles)","The difficult level/techniques doesn't hold me back. I will just jump into it!","There is nothing difficult about knitting. If I come across a new technique, it's easy to learn. The pattern usually explains it, failing that, there's YouTube or Ravelry.","Ravelry","Digital","I wouldn't use an app. I keep all necessary data on Ravelry.","","","","Some questions impossible to answer, eg, small, medium, or large projects. All of them.

Three most important tools, again, meaningless answer. You need what you need. You can't knit without the needles, so I ticked them. But if you want something to fit, you also need a tape measure. If you want cables, a cable needle. If you want to finish your work, scissors and sewing needles. Every tool has its purpose; some, you can improvise, some not. It's a bit like asking a woodworker to choose between a saw, a hammer, a chisel, a screwdriver, and a drill."
"2022/10/07 4:59:14 PM CET","More than 20 years","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs","The older generations in my family passed the craft on to me","At home","Pattern sellers (e.g., Ravelry, Etsy, Yarnbook);From garments I like in my closet","Knitwear for myself","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color","Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles;Needle gauge;Yarn needles;Scissor / Yarn cutter;Wool winder;Notebook & pen","Stitch markers;Circular needles;Scissor / Yarn cutter","The difficult level/techniques doesn't hold me back. I will just jump into it!","I'm very experienced so I just knit items that look enjoyable to make that I'll want to wear","I eventually will figure it out myself. Maybe find an internet tutorial, but haven't had to in several years","Physical","color work chart tool where you could test different color combos than the version presented in the pattern. ","Yes, it could be nice to share the data on multiple devices","convenience. ","Don't try to duplicate the functionality of Ravelry",""
